# Pre-Califiguration: HARD_REV:0x07,MPC:0x05,GX_M:0x00,VOSS_M:0x00,VOSC_M:0x00,PH_M:0x00,PHR_M:0x00,GX_N:0x00,VOSS_N:0x00,VOSC_N:0x00,PH_N:0x00,PHR_N:0x00
MASTER_RAW,NONIUS_RAW
312,14491
400,14584
494,14675
591,14769
675,14862
769,14957
864,15045
954,15143
1046,15238
1141,15331
1234,15426
1326,15517
1420,15610
1511,15703
1599,15800
1700,15893
1793,15986
1886,16074
1980,16164
2068,16258
2161,16353
2256,64
2348,155
2446,243
2539,334
2627,424
2724,514
2821,605
2916,698
3005,782
3100,877
3196,970
3292,1054
3385,1140
3479,1230
3574,1314
3671,1403
3766,1490
3854,1578
3953,1667
4045,1754
4148,1844
4242,1930
4332,2018
4432,2108
4522,2191
4621,2279
4721,2369
4816,2459
4913,2547
5010,2637
5107,2721
5206,2815
5302,2903
5397,2997
5492,3089
5593,3179
5694,3271
5787,3364
5891,3454
5991,3548
6087,3647
6186,3739
6277,3824
6372,3915
6475,4010
6567,4104
6663,4195
6765,4292
6862,4384
6956,4480
7050,4570
7144,4666
7238,4760
7333,4859
7433,4949
7527,5044
7625,5136
7716,5229
7807,5325
7903,5420
7997,5512
8089,5608
8179,5703
8269,5798
8364,5890
8461,5980
8552,6075
8655,6168
8746,6263
8837,6358
8934,6449
9024,6543
9115,6638
9208,6731
9306,6829
9405,6922
9496,7020
9592,7116
9681,7208
9774,7305
9872,7402
9973,7497
10073,7592
10163,7684
10255,7780
10354,7872
10449,7969
10545,8064
10636,8157
10731,8250
10830,8344
10928,8444
11024,8535
11118,8625
11213,8721
11305,8812
11405,8905
11505,9000
11598,9092
11697,9187
11795,9274
11890,9365
11986,9450
12079,9546
12177,9638
12279,9727
12373,9815
12478,9912
12570,9997
12673,10085
12770,10178
12870,10265
12968,10356
13067,10447
13167,10538
13264,10630
13367,10721
13464,10812
13570,10902
13672,10996
13773,11093
13871,11185
13975,11280
14076,11380
14171,11471
14275,11566
14376,11662
14474,11757
14570,11854
14669,11949
14775,12044
14867,12136
14969,12230
15064,12330
15165,12427
15262,12519
15361,12619
15461,12712
15553,12812
15651,12908
15748,13003
15841,13099
15938,13194
16033,13290
16128,13385
16222,13485
16320,13577
25,13673
118,13764
221,13861
313,13959
405,14045
496,14139
592,14237
690,14333
783,14426
874,14515
969,14613
1061,14705
1156,14798
1248,14894
1340,14991
1435,15083
1530,15182
1623,15274
1720,15368
1817,15460
1905,15554
1999,15649
2093,15744
2190,15842
2282,15934
2373,16023
2467,16119
2566,16214
2657,16300
2749,7
2837,100
2935,189
3033,283
3132,373
3223,463
3314,559
3408,654
3502,741
3601,830
3696,921
3782,1008
3874,1096
3969,1183
4069,1273
4160,1357
4260,1446
4353,1532
4441,1622
4543,1710
4638,1794
4734,1884
4833,1969
4925,2053
5020,2144
5121,2232
5217,2320
5312,2409
5409,2497
5509,2586
5610,2676
5704,2768
5799,2856
5896,2951
5992,3042
6093,3131
6192,3223
6286,3313
6382,3407
6474,3502
6576,3590
6676,3681
6772,3773
6865,3866
6955,3958
7053,4050
7150,4143
7245,4240
7344,4334
7435,4426
7528,4520
7621,4611
7716,4708
7807,4803
7896,4894
7990,4985
8082,5082
8171,5176
8269,5264
8360,5357
8448,5446
8539,5544
8633,5636
8728,5724
8824,5816
8918,5907
9007,5998
9095,6092
9186,6182
9285,6276
9376,6370
9466,6461
9557,6554
9646,6641
9744,6737
9833,6826
9923,6919
10019,7013
10112,7105
10201,7192
10296,7287
10386,7383
10479,7474
10570,7569
10666,7658
10754,7748
10844,7841
10937,7931
11029,8020
11118,8109
11212,8200
11305,8291
11397,8381
11489,8473
11582,8561
11672,8652
11771,8742
11862,8832
11947,8917
12036,9010
12130,9098
12224,9182
12313,9266
12405,9355
12501,9442
12593,9529
12692,9614
12788,9702
12876,9786
12966,9871
13064,9952
13160,10038
13259,10128
13354,10209
13448,10301
13543,10389
13639,10475
13732,10562
13829,10648
13926,10730
14020,10823
14113,10911
14209,10998
14302,11086
14397,11174
14488,11266
14587,11360
14683,11450
14780,11537
14870,11630
14969,11722
15060,11813
15153,11907
15246,11994
15343,12083
15438,12180
15529,12267
15620,12364
15710,12457
15807,12550
15901,12642
15991,12735
16082,12830
16177,12920
16263,13013
16353,13106
68,13199
158,13293
247,13382
339,13478
432,13568
526,13665
617,13760
705,13847
796,13935
889,14030
979,14121
1075,14208
1167,14305
1261,14400
1349,14491
1443,14582
1536,14671
1632,14766
1724,14861
1813,14954
1903,15047
1998,15142
2090,15233
2184,15327
2283,15421
2373,15512
2461,15602
2558,15697
2646,15790
2737,15882
2835,15977
2930,16065
3024,16152
3117,16244
3206,16335
3306,45
3400,138
3491,227
3584,318
3679,410
3770,500
3866,591
3954,687
4047,771
4143,859
4241,948
4341,1036
4443,1124
4528,1214
4627,1303
4723,1394
4822,1479
4918,1566
5010,1652
5109,1740
5206,1829
5306,1920
5403,2007
5495,2092
5598,2180
5701,2268
5795,2357
5895,2448
5989,2538
6093,2624
6191,2719
6285,2808
6385,2905
6484,2991
6575,3083
6675,3181
6775,3271
6871,3366
6968,3457
7066,3554
7162,3645
7259,3742
7359,3835
7449,3926
7547,4021
7642,4118
7738,4213
7833,4310
7928,4409
8024,4505
8117,4600
8210,4695
8302,4790
8399,4889
8498,4984
8595,5079
8686,5179
8772,5272
8871,5370
8968,5465
9066,5560
9158,5656
9261,5750
9351,5846
9448,5943
9549,6033
9642,6124
9736,6220
9832,6317
9923,6415
10020,6511
10119,6603
10209,6699
10304,6796
10401,6895
10502,6987
10596,7080
10687,7179
10783,7278
10887,7371
10979,7467
11078,7565
11177,7660
11268,7752
11363,7852
11461,7944
11557,8039
11652,8132
11748,8223
11846,8317
11942,8409
12030,8501
12129,8593
12223,8684
12320,8781
12416,8875
12516,8966
12613,9056
12706,9147
12803,9232
12903,9322
12998,9413
13103,9504
13202,9594
13297,9683
13396,9771
13493,9859
13595,9948
13692,10039
13788,10121
13887,10214
13985,10303
14084,10390
14179,10479
14280,10567
14376,10657
14475,10743
14572,10840
14664,10928
14760,11021
14865,11110
14958,11201
15055,11290
15153,11387
15247,11482
15337,11571
15434,11663
15530,11760
15623,11852
15718,11946
15808,12033
15904,12124
15996,12217
16089,12311
16179,12407
16271,12499
16363,12592
67,12688
166,12784
253,12872
345,12970
441,13064
536,13159
624,13251
721,13341
813,13437
903,13534
996,13624
1088,13719
1181,13809
1274,13903
1362,13999
1458,14091
1551,14183
1641,14275
1741,14368
1833,14458
1926,14550
2024,14646
2117,14740
2209,14841
2302,14934
2395,15021
2491,15115
2584,15206
2676,15300
2779,15398
2870,15491
2961,15589
3054,15686
3145,15776
3241,15869
3336,15961
3433,16053
3528,16144
3621,16236
3723,16332
3812,40
3904,130
3996,227
4094,318
4187,409
4282,499
4380,587
4482,678
4579,767
4673,863
4770,951
4869,1041
4964,1128
5064,1215
5159,1302
5259,1393
5353,1479
5448,1569
5552,1658
5654,1744
5748,1834
5849,1926
5946,2009
6039,2096
6136,2181
6232,2269
6331,2357
6431,2445
6530,2533
6625,2625
6722,2712
6818,2800
6910,2893
7007,2981
7099,3069
7196,3162
7290,3254
7384,3349
7480,3440
7575,3532
7668,3622
7763,3714
7856,3805
7947,3897
8036,3983
8126,4078
8216,4174
8312,4265
8402,4358
8496,4449
8584,4548
8678,4638
8770,4734
8862,4826
8953,4914
9044,5008
9132,5100
9225,5194
9321,5286
9411,5378
9506,5466
9601,5555
9690,5651
9783,5748
9871,5839
9966,5927
10058,6021
10149,6110
10245,6200
10338,6292
10429,6386
10518,6480
10609,6570
10707,6661
10802,6755
10894,6849
10984,6942
11079,7035
11171,7132
11266,7224
11360,7317
11454,7407
11547,7502
11638,7594
11734,7687
11827,7780
11919,7874
12012,7965
12100,8057
12195,8148
12294,8240
12387,8339
12481,8427
12575,8515
12673,8606
12772,8698
12866,8791
12964,8883
13056,8967
13154,9058
13252,9150
13345,9240
13441,9330
13544,9418
13641,9508
13740,9595
13838,9683
13932,9765
14030,9855
14120,9942
14220,10031
14316,10122
14416,10206
14509,10295
14606,10383
14705,10472
14799,10563
14898,10649
14991,10739
15091,10831
15188,10917
15282,11012
15377,11097
15474,11190
15562,11285
15656,11377
15751,11464
15845,11558
15943,11649
16036,11742
16126,11833
16218,11925
16307,12016
13,12106
107,12199
203,12294
298,12386
389,12481
478,12573
568,12664
664,12763
757,12854
851,12949
944,13043
1038,13136
1131,13228
1224,13325
1317,13415
1412,13508
1506,13602
1596,13694
1687,13786
1786,13877
1877,13970
1975,14068
2067,14160
2158,14253
2252,14346
2349,14440
2437,14534
2530,14623
2624,14716
2719,14812
2815,14904
2911,15001
3012,15097
3101,15193
3195,15288
3290,15380
3392,15476
3486,15573
3582,15666
3675,15769
3771,15860
3865,15956
3962,16050
4056,16139
4157,16237
4252,16329
4354,39
4450,135
4546,234
4645,326
4747,420
4844,514
4946,607
5047,703
5146,792
5241,883
5341,973
5444,1065
5547,1153
5645,1245
5747,1337
5847,1431
5949,1520
6048,1608
6146,1696
6249,1786
6348,1878
6444,1970
6537,2061
6637,2146
6739,2240
6840,2328
6940,2419
7029,2511
7127,2603
7233,2691
7327,2785
7424,2876
7519,2972
7617,3068
7708,3157
7807,3249
7903,3340
7996,3434
8086,3530
8180,3626
8271,3719
8360,3810
8461,3901
8553,3993
8643,4090
8734,4181
8829,4275
8925,4368
9020,4462
9110,4559
9204,4654
9302,4743
9392,4839
9486,4931
9575,5027
9675,5115
9765,5210
9858,5305
9950,5393
10042,5488
10133,5581
10229,5674
10319,5766
10410,5856
10502,5949
10594,6043
10692,6133
10787,6222
10877,6315
10972,6407
11063,6498
11156,6595
